ticker,date,sector,close,sma_200,ema_12,volume_ratio,volume_sma_20,rsi_14,macd_histogram,price_to_sma_50,momentum_10,momentum_20,volatility_20,atr_14,true_range,trend_label
STK001,2021-01-04,Technology,160.11,160.11,160.11,1.0,962644.0,100.0,0.0,0.0,-0.0085566173255886,-0.0455936543626257,0.0124628610506278,2.8799999999999955,2.8799999999999955,Uptrend
STK001,2021-01-05,Technology,162.36,161.235,160.45615384615385,1.1538419279146004,1137664.5,100.0,0.1435897435897459,0.0069773932458833,-0.0085566173255886,-0.0455936543626257,0.0124628610506278,4.134999999999991,5.389999999999986,Sideways
STK001,2021-01-06,Technology,161.78,161.41666666666666,160.65982248520712,1.16727721743501,1241502.0,79.50530035335655,0.188720286361322,0.0022509034589572,-0.0085566173255886,-0.0455936543626257,0.0124628610506278,3.279999999999992,1.5699999999999932,Sideways
STK001,2021-01-07,Technology,167.07,162.83,161.64600364132912,1.1673200757737807,1314834.75,92.8571428571427,0.5439522468078776,0.0260394276239021,-0.0085566173255886,-0.0455936543626257,0.0181379112108743,3.989999999999995,6.1200000000000045,Downtrend
STK001,2021-01-08,Technology,165.68,163.4,162.26661846574,0.694430709280241,1221520.0,79.28496319663512,0.6473861503279873,0.013953488372093,-0.0085566173255886,-0.0455936543626257,0.0186625853193953,4.007999999999993,4.079999999999984,Downtrend
STK001,2021-01-11,Technology,164.33,163.555,162.5840617787031,0.9383202045357544,1206635.0,69.4290976058932,0.5886529163300663,0.0047384671822934,-0.0085566173255886,-0.0455936543626257,0.0178351281834585,4.056666666666662,4.300000000000011,Downtrend
STK001,2021-01-12,Technology,165.31,163.8057142857143,163.00343688967186,0.9383202045357544,1166679.5714285714,71.95945945945945,0.5787088530401694,0.0091833531012349,-0.0085566173255886,-0.0455936543626257,0.0159542404977538,4.442857142857138,6.759999999999991,Downtrend
STK001,2021-01-13,Technology,159.79,163.30375,162.5090619835685,1.057779532676139,1176389.75,49.07834101382482,0.1837323716245581,-0.0215166522507904,-0.0085566173255886,-0.0455936543626257,0.0206783641111159,4.769999999999996,7.060000000000002,Sideways
STK001,2021-01-14,Technology,156.72,162.57222222222222,161.61843706301948,1.057779532676139,1189313.6666666667,41.70337738619672,-0.2759351372181752,-0.0359976762464545,-0.0085566173255886,-0.0455936543626257,0.0203017274301191,4.942222222222218,6.319999999999993,Sideways
STK001,2021-01-15,Technology,154.05,161.72,160.45406213024728,1.0565412406045758,1196832.6,36.883116883116855,-0.7258972208798966,-0.0474276527331188,-0.0085566173255886,-0.0455936543626257,0.0195996984361441,4.8379999999999965,3.9000000000000057,Sideways
